l1_r,l2_r,recovery,h_emp,l1,l2
0.5,0.06896275705804848,0,253.12734902012363,0.007250290175886264,0.001
9.612717845918182,0.06896275705804848,1,13.207119026751691,0.13938998752365434,0.001
18.725435691836363,0.06896275705804848,1,6.8389029151882115,0.27152968487142237,0.001
27.838153537754543,0.06896275705804848,1,4.665952046880105,0.4036693822191904,0.001
36.95087138367273,0.06896275705804848,1,3.5848258417136023,0.5358090795669586,0.001
46.06358922959091,0.06896275705804848,1,2.9478375649759125,0.6679487769147266,0.001
55.17630707550909,0.06896275705804848,1,2.535019324119716,0.8000884742624946,0.001
64.28902492142727,0.06896275705804848,1,2.250898399175338,0.9322281716102627,0.001
73.40174276734545,0.06896275705804848,1,2.047178069177733,1.0643678689580307,0.001
82.51446061326362,0.06896275705804848,1,1.896694535763084,1.1965075663057987,0.001
91.62717845918182,0.06896275705804848,1,1.7829481580741242,1.328647263653567,0.001
100.73989630509999,0.06896275705804848,1,1.6953333954945182,1.4607869610013349,0.001
109.85261415101817,0.06896275705804848,1,1.6267436311438679,1.5929266583491029,0.001
118.96533199693636,0.06896275705804848,1,1.57226784494621,1.725066355696871,0.001
128.07804984285454,0.06896275705804848,1,1.5284318840339894,1.857206053044639,0.001
137.19076768877272,0.06896275705804848,1,1.492731833132052,1.9893457503924072,0.001
146.3034855346909,0.06896275705804848,1,1.4633345571797307,2.1214854477401754,0.001
155.4162033806091,0.06896275705804848,1,1.4388793109026454,2.2536251450879434,0.001
164.52892122652727,0.06896275705804848,1,1.4183431467251455,2.3857648424357114,0.001
173.64163907244549,0.06896275705804848,1,1.400947918667557,2.51790453978348,0.001
182.75435691836364,0.06896275705804848,1,1.3860950621931123,2.650044237131248,0.001
191.86707476428182,0.06896275705804848,1,1.3733192609429543,2.782183934479016,0.001
200.9797926102,0.06896275705804848,1,1.3622551441079636,2.914323631826784,0.001
210.0925104561182,0.06896275705804848,1,1.352613086375709,3.0464633291745518,0.001
219.20522830203635,0.06896275705804848,1,1.344161438084185,3.1786030265223197,0.001
228.31794614795456,0.06896275705804848,1,1.336713345593648,3.310742723870088,0.001
237.43066399387274,0.06896275705804848,1,1.33011688134304,3.442882421217856,0.001
246.54338183979092,0.06896275705804848,0,1.3242475834435363,3.575022118565624,0.001
255.65609968570908,0.06896275705804848,0,1.3190027659647205,3.707161815913392,0.001
264.7688175316273,0.06896275705804848,0,1.3142971422933716,3.83930151326116,0.001
