design,true_spectral_norm,true_spectral_norm_std,true_spectral_norm_ci_lower,true_spectral_norm_ci_upper,frobenius_norm,frobenius_norm_std,frobenius_norm_ci_lower,frobenius_norm_ci_upper,leverage_bound,leverage_bound_std,leverage_bound_ci_lower,leverage_bound_ci_upper,rip_bound,rip_bound_std,rip_bound_ci_lower,rip_bound_ci_upper,rip_constant,rip_constant_std,rip_constant_ci_lower,rip_constant_ci_upper,lambda_max_AA,lambda_max_AA_std,lambda_max_AA_ci_lower,lambda_max_AA_ci_upper,sum_leverage,sum_leverage_std,sum_leverage_ci_lower,sum_leverage_ci_upper,max_leverage,max_leverage_std,max_leverage_ci_lower,max_leverage_ci_upper,frobenius_ratio,frobenius_ratio_std,frobenius_ratio_ci_lower,frobenius_ratio_ci_upper,leverage_ratio,leverage_ratio_std,leverage_ratio_ci_lower,leverage_ratio_ci_upper,rip_ratio,rip_ratio_std,rip_ratio_ci_lower,rip_ratio_ci_upper,leverage_valid_pct,rip_valid_pct
Gaussian,1.6895884786933142,0.04439357509537979,1.6142245796493773,1.7751947865463902,4.412745563853396,0.04868231950521946,4.343023502647913,4.509610579711796,5.16091316150279,0.11314860139547993,4.929345015290892,5.31078573333156,2.9289464848040914,0.6091385416063878,2.0511545326538427,4.165353299197343,0.23456279821928103,0.04878246890603849,0.16426539346335245,0.33357964390974326,1.3676490819888578,0.04989275252680888,1.2753677868600284,1.448796610932927,19.483795747253588,0.4503597833889393,18.7725005510349,20.290169000008834,0.1356495628278043,0.012427512624891156,0.11520334052083486,0.16125054247888568,2.6133233032941843,0.06657386322951035,2.4673168155345317,2.7195314670484674,3.0556375003229013,0.069237425916228,2.919479019744435,3.1663195621189164,1.7356259808119268,0.3674404458203582,1.212126172749949,2.4836996241265794,100.0,100.0
Rademacher,1.6925244706002374,0.052967752321631076,1.593079259997885,1.7815273745051974,4.41403499108818,0.0564071282358532,4.318579440340802,4.50263306347938,5.1497626897277415,0.11384744506895325,4.947753950183949,5.350871186737886,2.82621445422033,0.40363823471570964,2.315083091099471,3.6886752369495586,0.22633556952613285,0.03232510880428073,0.1854019425673312,0.2954051874249012,1.3614360453129224,0.049994637441915346,1.273658219070155,1.451655146919963,19.48887368803622,0.4727355566916962,18.638497835309416,20.25063226807159,0.13751985715514964,0.013484440143188078,0.11787552998374344,0.16559747835540423,2.609955731033365,0.06948062166630806,2.495360838062463,2.7380790872128715,3.0443052073226444,0.07389003509949058,2.896718755921477,3.1676968918580433,1.6730986784336797,0.2573618234387142,1.3342405591830848,2.1942210700983042,100.0,100.0
Partial DCT,0.4999083319388689,0.00012166494294142653,0.49959393044736133,0.49999992643479524,1.5618881608010093,0.004787801357818799,1.5533050842770255,1.5688190725448692,1.7632838465384348,0.01865175681968666,1.7366299245809915,1.7978349518688879,1.9934314264678301,0.25021982929246855,1.5841424852216799,2.409719025511396,0.15964267557514716,0.020038694333712966,0.12686503356735018,0.1929808005980003,0.623036442567541,0.014282951257980098,0.5985226555439951,0.6451255055420506,4.991479516261924,0.06124175823725639,4.886290893973515,5.099501367334896,0.03771568576626907,0.005594122601684017,0.03080677951866931,0.050559547848957616,3.1243495772100642,0.009692531227191825,3.10682783760734,3.1379363460564966,3.527215233074602,0.03738241897257448,3.473673630953191,3.596345023132469,3.9876026668548814,0.5006029391675217,3.1684880334945045,4.820975348678499,100.0,100.0
Spiked $\rho=0.3$,18.96444716000933,1.6862880735144317,15.929307428503487,21.84640709498388,19.19208614886544,1.6480930434134067,16.24332875733208,22.016171134951673,20.23681018818873,1.6277484494037042,17.29744637869519,22.9724855452011,,,,,,,,,3.7396274465873436,0.2826309665240252,3.203305100147549,4.134013151767146,109.5708916543277,10.030347504668018,93.42958071159595,128.24719901871512,0.42461632288614887,0.028101190345244543,0.3712134484101049,0.47147225802570986,1.012282285914181,0.0032006397507212702,1.0077749929084594,1.0195454443604854,1.0679078577446839,0.009749100465106117,1.0515668095092694,1.0852507600655372,,,,,100.0,
Spiked $\rho=0.7$,43.506298846691045,1.2599459555627366,40.737353729251815,45.27998130947007,43.52501663444945,1.2568834909503077,40.76282366099864,45.29455981877826,43.98970382766389,1.2335017568046984,41.26260914252665,45.74596017652874,,,,,,,,,7.275560597290919,0.18966247608913184,6.874479435851519,7.584626898568409,265.98380490388706,8.334566071285696,248.0899422552706,277.68545631486097,0.7652800889650349,0.020259091658203318,0.7247922258022368,0.8010979860216036,1.0004326790221505,8.536805200863392e-05,1.0003199226710895,1.0006392980469079,1.0111386657952224,0.001071167036431355,1.0095530046719279,1.013458466058932,,,,,100.0,
Spiked $\rho=0.9$,56.17301379560262,0.5004848644282763,55.231784956710726,57.0939708974593,56.17461383293074,0.5002172117819997,55.23393776903336,57.0951138636241,56.32876297688835,0.48595613735324905,55.41710981085079,57.222346717668586,,,,,,,,,9.090726088701208,0.07530362793023886,8.944112473567696,9.228147534024618,349.03034219790567,3.242922405317087,342.4463218639371,355.01646091490653,0.9236087251109631,0.005874598037813011,0.9115440427666978,0.9331372037685621,1.000028528945559,5.0950261436665895e-06,1.0000200798020784,1.0000389848642053,1.002775207721265,0.00030955176413171095,1.002288265361227,1.0033557296727464,,,,,100.0,
