design,n,d,s,lambda,exact_hoffman,lower_bound,upper_bound,weyl_bound,l_inf_bound,l_1_bound,lambda_min_AA,condition_number_AA,interaction_norm,cross_leverage_bound,max_leverage,inactive_leverage_sum,active_amplification,lower_ratio,upper_ratio,weyl_ratio
Gaussian,200,400,10,0.1,19.914632986108785,17.18491906844089,19.933150553742863,inf,19.24534069789845,245.4973749191399,0.7055127808866005,1.8947353793601716,17.18491906844089,72.45098010071972,0.11798548486240186,19.54541297004952,1.3367600265366228,1.1588435713195098,1.000929847296056,inf
Partial DCT,200,400,10,0.1,16.381471396645875,12.805499613057163,16.460540929469648,inf,17.24752673383778,179.786363661653,0.3788153998127593,1.6582660088649817,12.805499613057163,46.70854367865217,0.0323831498430348,4.983862827114818,0.6281767011440972,1.2792528125917446,1.0048267662232078,inf
Spiked ρ=0.3,200,400,10,0.1,53.10423720202437,52.15153038697333,53.14126160758898,inf,22.970366874714863,477.26814919110717,0.48727970235009893,7.313675842425758,52.15153038697333,394.32225304757355,0.42401611760788066,103.59652475148724,3.5638057875823312,1.0182680509657491,1.0006972024741407,inf
Spiked ρ=0.7,200,400,10,0.1,62.594805684577906,61.78650637938635,62.762819067198045,inf,23.41595814415247,506.86398168302003,0.21517029050340286,33.483691993939736,61.78650637938635,2047.4024311366672,0.7706163250383398,269.3738274989731,7.204695733462474,1.0130821331801538,1.00268414257034,inf
