lambda1,lambda2,exact_recovery,TP,FP,FN,conditional_bias,iterations,lambda1_ratio,lambda2_ratio
0.020876587872591997,0.001,0,10,11,0,0.012301812966221874,5000,0.5,0.023950274012758052
0.07803359843996144,0.001,1,10,0,0,0.03985312859318098,5000,1.8689260648386057,0.023950274012758052
0.13519060900733088,0.001,1,10,0,0,0.07027334655016948,5000,3.2378521296772114,0.023950274012758052
0.1923476195747003,0.001,1,10,0,0,0.1006935645071583,5000,4.606778194515817,0.023950274012758052
0.24950463014206975,0.001,1,10,0,0,0.13111378246414687,5000,5.975704259354422,0.023950274012758052
0.3066616407094392,0.001,1,10,0,0,0.16153400042113536,5000,7.3446303241930275,0.023950274012758052
0.3638186512768086,0.001,1,10,0,0,0.1919542183781242,5000,8.713556389031634,0.023950274012758052
0.42097566184417806,0.001,1,10,0,0,0.22237443633511272,5000,10.08248245387024,0.023950274012758052
0.4781326724115475,0.001,1,10,0,0,0.25279465429210146,5000,11.451408518708844,0.023950274012758052
0.5352896829789169,0.001,1,10,0,0,0.2832148722490901,5000,12.82033458354745,0.023950274012758052
0.5924466935462863,0.001,1,10,0,0,0.3136350902060786,5000,14.189260648386055,0.023950274012758052
0.6496037041136558,0.001,1,10,0,0,0.34405530816306706,5000,15.558186713224659,0.023950274012758052
0.7067607146810252,0.001,1,10,0,0,0.37447552612005597,5000,16.927112778063265,0.023950274012758052
0.7639177252483946,0.001,1,10,0,0,0.4048957440770445,5000,18.296038842901872,0.023950274012758052
0.8210747358157641,0.001,1,10,0,0,0.43531596203403317,5000,19.664964907740476,0.023950274012758052
0.8782317463831335,0.001,1,10,0,0,0.4657361799910218,5000,21.033890972579083,0.023950274012758052
0.9353887569505029,0.001,1,10,0,0,0.49615639794801025,5000,22.402817037417687,0.023950274012758052
0.9925457675178724,0.001,1,10,0,0,0.5265766159049992,5000,23.771743102256295,0.023950274012758052
1.049702778085242,0.001,1,10,0,0,0.5569968338619875,5000,25.140669167094902,0.023950274012758052
1.1068597886526115,0.001,1,10,0,0,0.5874170518189763,5000,26.50959523193351,0.023950274012758052
1.1640167992199808,0.001,1,10,0,0,0.617837269775965,5000,27.878521296772114,0.023950274012758052
1.2211738097873501,0.001,1,10,0,0,0.6482574877329534,5000,29.247447361610714,0.023950274012758052
1.2783308203547197,0.001,1,10,0,0,0.6786777056899419,5000,30.616373426449325,0.023950274012758052
1.3354878309220892,0.001,1,10,0,0,0.7090979236469309,5000,31.985299491287932,0.023950274012758052
1.3926448414894586,0.001,1,10,0,0,0.7395181416039194,5000,33.354225556126536,0.023950274012758052
1.4498018520568279,0.001,1,10,0,0,0.769938359560908,5000,34.72315162096514,0.023950274012758052
1.5069588626241974,0.001,1,10,0,0,0.8003585775178965,5000,36.092077685803744,0.023950274012758052
